,scientific_name,park_name,observations,category,conservation_status
2234,Hemizonia kelloggii,Great Smoky Mountains National Park,84,Vascular Plant,
2235,Ipomoea purpurea,Yellowstone National Park,254,Vascular Plant,
2236,Parthenocissus vitacea,Yosemite National Park,156,Vascular Plant,
2237,Bos bison,Yosemite National Park,128,Mammal,
2238,Sonchus oleraceus,Yosemite National Park,174,Vascular Plant,
2239,Epilobium obcordatum,Yosemite National Park,163,Vascular Plant,
2240,Chaerophyllum tainturieri var. tainturieri,Yellowstone National Park,246,Vascular Plant,
2241,Chasmanthium laxum var. sessiliflorum,Great Smoky Mountains National Park,106,Vascular Plant,
2242,Helenium autumnale,Yellowstone National Park,207,Vascular Plant,
2243,Delphinium exaltatum,Bryce National Park,107,Vascular Plant,Species of Concern
2244,Vaccinium parvifolium,Yosemite National Park,152,Vascular Plant,
2245,Hookeria acutifolia,Yellowstone National Park,264,Nonvascular Plant,
2246,Pituophis catenifer catenifer,Yellowstone National Park,261,Reptile,
2247,Senecio crassulus,Yosemite National Park,150,Vascular Plant,
2248,Beckmannia syzigachne,Bryce National Park,81,Vascular Plant,
2249,Euphorbia dentata var. dentata,Yellowstone National Park,250,Vascular Plant,
2250,Arrhenatherum elatius var. elatius,Bryce National Park,115,Vascular Plant,
2251,Potamogeton zosteriformis,Bryce National Park,117,Vascular Plant,
2252,Cyperus rivularis,Bryce National Park,123,Vascular Plant,
2253,Solanum ptychanthum,Bryce National Park,92,Vascular Plant,
2254,Hypericum mutilum,Yellowstone National Park,236,Vascular Plant,
2255,Carex frankii,Yellowstone National Park,254,Vascular Plant,
2256,Choenomeles speciosa,Bryce National Park,66,Vascular Plant,
2257,Spermophilus lateralis,Great Smoky Mountains National Park,74,Mammal,
2258,Otus flammeolus,Yellowstone National Park,283,Bird,
2259,Lewisia pygmaea,Great Smoky Mountains National Park,100,Vascular Plant,
2260,Neotoma floridana,Bryce National Park,114,Mammal,
2261,Elymus glaucus ssp. jepsonii,Yellowstone National Park,257,Vascular Plant,
2262,Etheostoma vulneratum,Yosemite National Park,136,Fish,
2263,Gentianella amarella ssp. acuta,Yosemite National Park,132,Vascular Plant,
2264,Sorex tenellus,Yellowstone National Park,232,Mammal,
2265,Graptemys geographica,Yosemite National Park,160,Reptile,
2266,Aspidotis californica,Bryce National Park,98,Vascular Plant,
2267,Anemone occidentalis,Bryce National Park,90,Vascular Plant,
2268,Ivesia lycopodioides ssp. lycopodioides,Great Smoky Mountains National Park,99,Vascular Plant,
2269,Hygrohypnum molle,Yellowstone National Park,214,Nonvascular Plant,
2270,Prosartes trachycarpa,Bryce National Park,96,Vascular Plant,
2271,Githopsis specularioides,Yosemite National Park,134,Vascular Plant,
2272,Macrocoma sullivantii,Bryce National Park,131,Nonvascular Plant,
2273,Carex whitneyi,Bryce National Park,93,Vascular Plant,
2274,Hemizonia kelloggii,Yellowstone National Park,255,Vascular Plant,
2275,Polytrichum piliferum,Yellowstone National Park,243,Nonvascular Plant,
2276,Phyllanthus caroliniensis,Yellowstone National Park,246,Vascular Plant,
2277,Gymnostomum aeruginosum,Bryce National Park,123,Nonvascular Plant,
2278,Primula incana,Yosemite National Park,136,Vascular Plant,
2279,Polypogon monspeliensis,Yellowstone National Park,241,Vascular Plant,
2280,Mertensia virginica,Yellowstone National Park,213,Vascular Plant,
2281,Notropis volucellus,Yosemite National Park,166,Fish,
2282,Limnanthes montana,Bryce National Park,122,Vascular Plant,
2283,Achnatherum occidentale,Yosemite National Park,171,Vascular Plant,
2284,Otus asio,Bryce National Park,110,Bird,
2285,Erigeron pygmaeus,Great Smoky Mountains National Park,76,Vascular Plant,
2286,Dicentra eximia,Yosemite National Park,128,Vascular Plant,
2287,Iva annua,Yosemite National Park,161,Vascular Plant,
2288,Phlox subulata,Bryce National Park,87,Vascular Plant,
2289,Vernonia noveboracensis,Bryce National Park,108,Vascular Plant,
2290,Parnassia palustris var. montanensis,Great Smoky Mountains National Park,59,Vascular Plant,
2291,Thalictrum dioicum,Yosemite National Park,160,Vascular Plant,
2292,Phlox gracilis,Yosemite National Park,178,Vascular Plant,
2293,Ditrichum pusillum,Bryce National Park,115,Nonvascular Plant,
2294,Oreothlypis ruficapilla,Yosemite National Park,129,Bird,
2295,Juncus filiformis,Yosemite National Park,151,Vascular Plant,
2296,Geranium pusillum,Yosemite National Park,126,Vascular Plant,
2297,Hygrohypnum subeugyrium,Yellowstone National Park,256,Nonvascular Plant,
2298,Desmodium glabellum,Bryce National Park,96,Vascular Plant,
2299,Carex,Yellowstone National Park,246,Vascular Plant,
2300,Catharus guttatus,Great Smoky Mountains National Park,62,Bird,
2301,Corallorrhiza trifida,Great Smoky Mountains National Park,95,Vascular Plant,
2302,Calochortus nudus,Bryce National Park,107,Vascular Plant,
2303,Salix lasiandra var. caudata,Yellowstone National Park,253,Vascular Plant,
2304,Urtica urens,Yosemite National Park,156,Vascular Plant,
2305,Mniotilta varia,Yosemite National Park,166,Bird,
2306,Cistanthe umbellata,Bryce National Park,151,Vascular Plant,
2307,Dendragapus obscurus,Yellowstone National Park,235,Bird,
2308,Erigeron philadelphicus,Bryce National Park,115,Vascular Plant,
2309,Bromus hordeaceus ssp. hordeaceus,Bryce National Park,125,Vascular Plant,
2310,Senecio anonymus,Yosemite National Park,153,Vascular Plant,
2311,Circaea lutetiana ssp. canadensis,Yellowstone National Park,229,Vascular Plant,
2312,Dodecatheon pulchellum var. pulchellum,Great Smoky Mountains National Park,45,Vascular Plant,
2313,Thaspium pinnatifidum,Bryce National Park,110,Vascular Plant,
2314,Thalictrum fendleri var. fendleri,Yosemite National Park,160,Vascular Plant,
2315,Carex lupulina,Yellowstone National Park,240,Vascular Plant,
2316,Muhlenbergia sylvatica,Yellowstone National Park,235,Vascular Plant,
2317,Plethodon serratus,Yosemite National Park,177,Amphibian,
2318,Achnatherum lemmonii,Yosemite National Park,149,Vascular Plant,
2319,Carex communis,Yosemite National Park,170,Vascular Plant,
2320,Cyperus lupulinus ssp. lupulinus,Great Smoky Mountains National Park,88,Vascular Plant,
2321,Heuchera pubescens,Yosemite National Park,151,Vascular Plant,
2322,Minuartia nuttallii ssp. gracilis,Yosemite National Park,143,Vascular Plant,
2323,Calamagrostis cainii,Bryce National Park,126,Vascular Plant,Species of Concern
2324,Castilleja pulchella,Yellowstone National Park,247,Vascular Plant,
2325,Myotis grisescens,Bryce National Park,27,Mammal,Endangered
2326,Acer nigrum,Yellowstone National Park,258,Vascular Plant,
2327,Asclepias speciosa,Bryce National Park,93,Vascular Plant,
2328,Neotamias umbrinus,Bryce National Park,101,Mammal,
2329,Ribes hudsonianum,Bryce National Park,85,Vascular Plant,
2330,Ectopistes migratorius,Bryce National Park,114,Bird,
2331,Erechtites hieraciifolia var. hieraciifolia,Yosemite National Park,172,Vascular Plant,
2332,Ptelea trifoliata,Yellowstone National Park,268,Vascular Plant,
2333,Saxifraga oregana,Yellowstone National Park,252,Vascular Plant,
2334,Sternotherus minor peltifer,Yellowstone National Park,269,Reptile,
2335,Botrychium matricariifolium,Yellowstone National Park,271,Vascular Plant,
2336,Hygrohypnum ochraceum,Bryce National Park,89,Nonvascular Plant,
2337,Allium bisceptrum var. bisceptrum,Great Smoky Mountains National Park,68,Vascular Plant,
2338,Thalictrum dioicum,Yellowstone National Park,255,Vascular Plant,
2339,Cynosurus echinatus,Great Smoky Mountains National Park,56,Vascular Plant,
2340,Bryohaplocladium microphyllum,Yosemite National Park,166,Nonvascular Plant,
2341,Solidago californica,Yellowstone National Park,255,Vascular Plant,
2342,Reithrodontomys megalotis,Yellowstone National Park,270,Mammal,
2343,Prunus hortulana,Great Smoky Mountains National Park,61,Vascular Plant,
2344,Prunus,Bryce National Park,124,Vascular Plant,
2345,Fritillaria pinetorum,Great Smoky Mountains National Park,75,Vascular Plant,
2346,Coronilla varia,Bryce National Park,138,Vascular Plant,
2347,Mniotilta varia,Bryce National Park,112,Bird,
2348,Juncus parryi,Great Smoky Mountains National Park,67,Vascular Plant,
2349,Goodyera pubescens,Great Smoky Mountains National Park,58,Vascular Plant,
2350,Sagina decumbens ssp. occidentalis,Yellowstone National Park,243,Vascular Plant,
2351,Lampropeltis getula nigra,Bryce National Park,155,Reptile,
2352,Bromus commutatus,Great Smoky Mountains National Park,66,Vascular Plant,
2353,Helianthus divaricatus,Bryce National Park,124,Vascular Plant,
2354,Carex gracilescens,Yosemite National Park,159,Vascular Plant,
2355,Mimulus rubellus,Yellowstone National Park,230,Vascular Plant,
2356,Cleistes divaricata,Bryce National Park,98,Vascular Plant,
2357,Poa cusickii ssp. cusickii,Yellowstone National Park,290,Vascular Plant,
2358,Hieracium piloselloides,Yellowstone National Park,241,Vascular Plant,
2359,Helianthus californicus,Yellowstone National Park,268,Vascular Plant,
2360,Oreothlypis peregrina,Bryce National Park,71,Bird,
2361,Anas discors,Yosemite National Park,190,Bird,
2362,Sonchus asper,Yosemite National Park,310,Vascular Plant,
2363,Clarkia heterandra,Yellowstone National Park,254,Vascular Plant,
2364,Cyperus retrorsus var. robustus,Yosemite National Park,118,Vascular Plant,
2365,Sphyrapicus thyroideus,Great Smoky Mountains National Park,51,Bird,Species of Concern
2366,Goodyera oblongifolia,Bryce National Park,66,Vascular Plant,
2367,Danthonia californica var. californica,Great Smoky Mountains National Park,118,Vascular Plant,
2368,Sedum stenopetalum,Bryce National Park,119,Vascular Plant,
2369,Silene oregana,Yosemite National Park,145,Vascular Plant,
2370,Opuntia polyacantha var. polyacantha,Yosemite National Park,139,Vascular Plant,
2371,Rubus phoenicolasius,Bryce National Park,126,Vascular Plant,
2372,Gentiana calycosa,Yosemite National Park,165,Vascular Plant,
2373,Eragrostis hirsuta,Yellowstone National Park,267,Vascular Plant,
2374,Crotalaria sagittalis,Yellowstone National Park,248,Vascular Plant,
2375,Coluber constrictor,Great Smoky Mountains National Park,73,Reptile,
2376,Cardamine rotundifolia,Bryce National Park,103,Vascular Plant,
2377,Aspidoscelis tigris munda,Yellowstone National Park,214,Reptile,
2378,Agrostis pallens,Bryce National Park,77,Vascular Plant,
2379,Hexastylis shuttleworthii,Great Smoky Mountains National Park,41,Vascular Plant,
2380,Clarkia dudleyana,Bryce National Park,91,Vascular Plant,
2381,Leymus triticoides,Yellowstone National Park,243,Vascular Plant,
2382,Carex praeceptorium,Bryce National Park,83,Vascular Plant,
2383,Sayornis saya,Yosemite National Park,147,Bird,
2384,Linanthus nuttallii ssp. pubescens,Yellowstone National Park,275,Vascular Plant,
2385,Chenopodium simplex,Yosemite National Park,141,Vascular Plant,
2386,Potamogeton foliosus ssp. fibrillosus,Great Smoky Mountains National Park,72,Vascular Plant,
2387,Trichostema oblongum,Bryce National Park,63,Vascular Plant,
2388,Pycnanthemum pycnanthemoides,Yosemite National Park,169,Vascular Plant,
2389,Tringa incana,Great Smoky Mountains National Park,89,Bird,
2390,Hyophila involuta,Bryce National Park,140,Nonvascular Plant,
2391,Noturus flavus,Great Smoky Mountains National Park,62,Fish,
2392,Myosurus apetalus var. montanus,Yosemite National Park,137,Vascular Plant,
2393,Calochortus superbus,Yosemite National Park,146,Vascular Plant,
2394,Acer macrophyllum,Great Smoky Mountains National Park,33,Vascular Plant,
2395,Lepidium densiflorum var. pubecarpum,Yosemite National Park,154,Vascular Plant,
2396,Cardinalis cardinalis,Yellowstone National Park,244,Bird,
2397,Fritillaria pudica,Yellowstone National Park,249,Vascular Plant,
2398,Melospiza lincolnii,Yellowstone National Park,207,Bird,Species of Concern
2399,Microtus richardsoni,Bryce National Park,88,Mammal,
2400,Pinus sabiniana,Yosemite National Park,89,Vascular Plant,
2401,Photinia melanocarpa,Yellowstone National Park,234,Vascular Plant,
2402,Streptopus amplexifolius var. amplexifolius,Great Smoky Mountains National Park,43,Vascular Plant,
2403,Cephalozia catenulata,Yosemite National Park,169,Nonvascular Plant,
2404,Sphagnum quinquefarium,Yellowstone National Park,269,Nonvascular Plant,
2405,Betula alleghaniensis var. alleghaniensis,Yellowstone National Park,251,Vascular Plant,
2406,Reithrodontomys megalotis,Great Smoky Mountains National Park,79,Mammal,
2407,Nothoscordum bivalve,Bryce National Park,117,Vascular Plant,
2408,Utricularia gibba,Great Smoky Mountains National Park,80,Vascular Plant,
2409,Potentilla nivea,Yellowstone National Park,229,Vascular Plant,
2410,Cardamine diphylla,Bryce National Park,111,Vascular Plant,
2411,Gentiana decora,Yellowstone National Park,249,Vascular Plant,
2412,Carex festucacea,Yosemite National Park,129,Vascular Plant,
2413,Polygonum phytolaccifolium,Yellowstone National Park,252,Vascular Plant,
2414,Antrozous pallidus,Great Smoky Mountains National Park,61,Mammal,Species of Concern
2415,Dicentra cucullaria,Bryce National Park,102,Vascular Plant,
2416,Rhodobryum roseum,Yosemite National Park,151,Nonvascular Plant,
2417,Hackelia patens var. patens,Yellowstone National Park,251,Vascular Plant,
2418,Alisma plantago-aquatica,Yellowstone National Park,290,Vascular Plant,
2419,Calamagrostis breweri,Bryce National Park,96,Vascular Plant,
2420,Silene hitchguirei,Yellowstone National Park,252,Vascular Plant,
2421,Sylvilagus floridanus,Yellowstone National Park,271,Mammal,
2422,Crataegus pruinosa,Yosemite National Park,120,Vascular Plant,
2423,Dendroica petechia,Great Smoky Mountains National Park,93,Bird,
2424,Eupatorium capillifolium,Yosemite National Park,161,Vascular Plant,
2425,Lotus wrangelianus,Bryce National Park,99,Vascular Plant,
2426,Trifolium arvense,Bryce National Park,95,Vascular Plant,
2427,Sorex trowbridgii,Yosemite National Park,140,Mammal,
2428,Sibbaldiopsis tridentata,Yellowstone National Park,269,Vascular Plant,
2429,Carex feta,Bryce National Park,103,Vascular Plant,
2430,Anthus spinoletta,Yellowstone National Park,241,Bird,
2431,Smilax hugeri,Yosemite National Park,125,Vascular Plant,
2432,Herpetineuron toccoae,Yosemite National Park,148,Nonvascular Plant,
2433,Parnassia glauca,Great Smoky Mountains National Park,70,Vascular Plant,
2434,Agoseris glauca var. laciniata,Yellowstone National Park,290,Vascular Plant,
2435,Poa stebbinsii,Yellowstone National Park,226,Vascular Plant,
2436,Hypericum punctatum,Bryce National Park,96,Vascular Plant,
2437,Packera obovata,Great Smoky Mountains National Park,64,Vascular Plant,
2438,Mertensia ciliata var. ciliata,Yellowstone National Park,232,Vascular Plant,
2439,Layia pentachaeta ssp. pentachaeta,Bryce National Park,104,Vascular Plant,
2440,Symphyotrichum foliaceum var. canbyi,Yosemite National Park,145,Vascular Plant,
2441,Dendragapus fuliginosus,Yellowstone National Park,261,Bird,
2442,Carex tompkinsii,Bryce National Park,126,Vascular Plant,
2443,Aconitum columbianum ssp. columbianum,Great Smoky Mountains National Park,91,Vascular Plant,
2444,Taxiphyllum taxirameum,Yellowstone National Park,241,Nonvascular Plant,
2445,Herpetineuron toccoae,Yellowstone National Park,227,Nonvascular Plant,
2446,Setophaga castanea,Great Smoky Mountains National Park,76,Bird,
2447,Dodecatheon subalpinum,Yosemite National Park,149,Vascular Plant,
2448,Phyllodoce empetriformis,Bryce National Park,134,Vascular Plant,
2449,Tripsacum dactyloides,Yellowstone National Park,258,Vascular Plant,
2450,Lupinus argenteus var. argenteus,Bryce National Park,58,Vascular Plant,
2451,Angelica lineariloba,Yellowstone National Park,284,Vascular Plant,
2452,Melanitta fusca,Bryce National Park,108,Bird,
2453,Lotus nevadensis var. nevadensis,Bryce National Park,68,Vascular Plant,
2454,Etheostoma jessiae,Yellowstone National Park,252,Fish,
2455,Senecio streptanthifolius,Yosemite National Park,135,Vascular Plant,
2456,Rattus rattus,Yellowstone National Park,239,Mammal,
2457,Psaltriparus minimus,Great Smoky Mountains National Park,97,Bird,
2458,Yucca glauca,Yellowstone National Park,257,Vascular Plant,
2459,Calypso bulbosa,Great Smoky Mountains National Park,82,Vascular Plant,
2460,Dichelostemma volubile,Great Smoky Mountains National Park,67,Vascular Plant,
2461,Bryum gemmiparum,Bryce National Park,80,Nonvascular Plant,
2462,Geum radiatum,Great Smoky Mountains National Park,27,Vascular Plant,Endangered
2463,Cardaria chalapensis,Great Smoky Mountains National Park,47,Vascular Plant,
2464,Poa chapmaniana,Yosemite National Park,141,Vascular Plant,
2465,Senecio pauciflorus,Yosemite National Park,144,Vascular Plant,
2466,Carex gynocrates,Yellowstone National Park,237,Vascular Plant,
2467,Crataegus intricata,Bryce National Park,90,Vascular Plant,
2468,Gallinula chloropus,Bryce National Park,110,Bird,
2469,Urtica dioica ssp. holosericea,Yellowstone National Park,236,Vascular Plant,
2470,Symphyotrichum novae-angliae,Great Smoky Mountains National Park,98,Vascular Plant,
2471,Spiranthes porrifolia,Bryce National Park,91,Vascular Plant,
2472,Raillardella argentea,Yellowstone National Park,203,Vascular Plant,
2473,Atrichum altecristatum,Great Smoky Mountains National Park,88,Nonvascular Plant,
2474,Agrostis scabra var. scabra,Yosemite National Park,125,Vascular Plant,
2475,Carex multicaulis,Yellowstone National Park,264,Vascular Plant,
2476,Lonicera sempervirens,Yosemite National Park,120,Vascular Plant,
2477,Muscari comosum,Yosemite National Park,137,Vascular Plant,
2478,Anthus spinoletta,Yosemite National Park,152,Bird,
2479,Juncus hemiendytus var. abjectus,Bryce National Park,81,Vascular Plant,
2480,Senecio triangularis,Yellowstone National Park,234,Vascular Plant,
2481,Senna hebecarpa,Yellowstone National Park,239,Vascular Plant,
2482,Bryohaplocladium microphyllum,Yellowstone National Park,249,Nonvascular Plant,
2483,Penstemon azureus var. angustissimus,Great Smoky Mountains National Park,76,Vascular Plant,
2484,Salix reticulata ssp. nivalis,Bryce National Park,101,Vascular Plant,
2485,Calidris himantopus,Bryce National Park,91,Bird,
2486,Thuidium delicatulum,Yosemite National Park,151,Nonvascular Plant,
2487,Myriophyllum aquaticum,Bryce National Park,136,Vascular Plant,
2488,Rubus ursinus,Yosemite National Park,157,Vascular Plant,
2489,Cordylanthus rigidus ssp. brevibracteatus,Yellowstone National Park,260,Vascular Plant,
2490,Arabis glabra var. glabra,Yellowstone National Park,272,Vascular Plant,
2491,Sedum spectabile,Yosemite National Park,115,Vascular Plant,
2492,Scalopus aquaticus,Great Smoky Mountains National Park,81,Mammal,
2493,Ruellia caroliniensis ssp. caroliniensis var. caroliniensis,Yellowstone National Park,248,Vascular Plant,
2494,Nerodia erythrogaster,Yellowstone National Park,222,Reptile,
2495,Hydrophyllum macrophyllum,Bryce National Park,74,Vascular Plant,
2496,Leskea obscura,Bryce National Park,113,Nonvascular Plant,
2497,Lonicera utahensis,Yellowstone National Park,254,Vascular Plant,
2498,Erigeron corymbosus,Yellowstone National Park,222,Vascular Plant,
2499,Callitriche heterophylla var. bolanderi,Bryce National Park,81,Vascular Plant,
2500,Plantago,Yellowstone National Park,278,Vascular Plant,
2501,Phyllodoce breweri,Great Smoky Mountains National Park,54,Vascular Plant,
2502,Fagopyrum esculentum,Yellowstone National Park,255,Vascular Plant,
2503,Viola sororia var. affinis,Yellowstone National Park,252,Vascular Plant,
2504,Alopecurus aequalis,Yellowstone National Park,256,Vascular Plant,
2505,Spinus lawrencei,Great Smoky Mountains National Park,105,Bird,
2506,Erigeron foliosus var. hartwegii,Yosemite National Park,159,Vascular Plant,
2507,Lepidium densiflorum,Yellowstone National Park,240,Vascular Plant,
2508,Tringa incana,Yellowstone National Park,257,Bird,
2509,Lapsana communis,Yellowstone National Park,234,Vascular Plant,
2510,Dicentra pauciflora,Great Smoky Mountains National Park,45,Vascular Plant,
2511,Trillium rugelii,Yellowstone National Park,279,Vascular Plant,
2512,Leucothoe recurva,Great Smoky Mountains National Park,72,Vascular Plant,
2513,Lilaea scilloides,Yellowstone National Park,218,Vascular Plant,
2514,Maclura pomifera,Yellowstone National Park,226,Vascular Plant,
2515,Gilia leptalea ssp. leptalea,Yosemite National Park,175,Vascular Plant,
2516,Agalinis purpurea,Bryce National Park,91,Vascular Plant,
2517,Cuscuta rostrata,Yellowstone National Park,270,Vascular Plant,
2518,Ranunculus muricatus,Great Smoky Mountains National Park,34,Vascular Plant,
2519,Ribes aureum var. aureum,Yellowstone National Park,246,Vascular Plant,
2520,Arabis davidsonii,Great Smoky Mountains National Park,96,Vascular Plant,
2521,Castilleja tenuis,Yellowstone National Park,234,Vascular Plant,
2522,Juncus mexicanus,Great Smoky Mountains National Park,123,Vascular Plant,
2523,Euonymus americana,Yellowstone National Park,227,Vascular Plant,
2524,Equus caballus,Great Smoky Mountains National Park,61,Mammal,
2525,Plethodon metcalfi,Great Smoky Mountains National Park,95,Amphibian,
2526,Amphidium mougeotii,Yellowstone National Park,255,Nonvascular Plant,
2527,Coreopsis major,Great Smoky Mountains National Park,62,Vascular Plant,
2528,Campsis radicans,Great Smoky Mountains National Park,96,Vascular Plant,
2529,Elymus glaucus ssp. glaucus,Great Smoky Mountains National Park,56,Vascular Plant,
2530,Castilleja lemmonii,Great Smoky Mountains National Park,80,Vascular Plant,
2531,Euclidium syriacum,Yosemite National Park,164,Vascular Plant,
2532,Lynx rufus,Great Smoky Mountains National Park,30,Mammal,
2533,Plagiobothrys torreyi var. diffusus,Yellowstone National Park,210,Vascular Plant,Species of Concern
2534,Phyllodoce breweri,Yosemite National Park,153,Vascular Plant,
2535,Helianthemum propinquum,Yellowstone National Park,246,Vascular Plant,
2536,Cymopterus cinerarius,Great Smoky Mountains National Park,71,Vascular Plant,
2537,Asclepias fascicularis,Bryce National Park,104,Vascular Plant,
2538,Rubus hispidus,Great Smoky Mountains National Park,103,Vascular Plant,
2539,Pituophis melanoleucus melanoleucus,Yosemite National Park,140,Reptile,Species of Concern
2540,Veronica verna,Bryce National Park,114,Vascular Plant,
2541,Listera caurina,Bryce National Park,81,Vascular Plant,
2542,Polygala sanguinea,Great Smoky Mountains National Park,69,Vascular Plant,
2543,Staphylea trifolia,Bryce National Park,53,Vascular Plant,
2544,Mimulus torreyi,Yellowstone National Park,250,Vascular Plant,
2545,Silene gallica,Great Smoky Mountains National Park,65,Vascular Plant,
2546,Desmodium nuttallii,Bryce National Park,97,Vascular Plant,
2547,Etheostoma stigmaeum,Great Smoky Mountains National Park,61,Fish,
2548,Desmodium perplexum,Yosemite National Park,172,Vascular Plant,
2549,Calidris mauri,Great Smoky Mountains National Park,96,Bird,
2550,Heracleum maximum,Yosemite National Park,125,Vascular Plant,
2551,Carex willdenowii,Yellowstone National Park,241,Vascular Plant,
2552,Trillium catesbaei,Yellowstone National Park,245,Vascular Plant,
2553,Myiarchus crinitus,Bryce National Park,71,Bird,
2554,Nerodia sipedon sipedon,Great Smoky Mountains National Park,99,Reptile,
2555,Malva moschata,Great Smoky Mountains National Park,14,Vascular Plant,
2556,Desmognathus conanti,Yosemite National Park,143,Amphibian,
2557,Erythronium americanum,Yellowstone National Park,246,Vascular Plant,
2558,Arabis repanda var. greenei,Bryce National Park,132,Vascular Plant,
2559,Pinus taeda,Yosemite National Park,206,Vascular Plant,
2560,Muhlenbergia mexicana,Great Smoky Mountains National Park,54,Vascular Plant,
2561,Spizella breweri,Yosemite National Park,126,Bird,Species of Concern
2562,Artemisia ludoviciana ssp. mexicana,Bryce National Park,74,Vascular Plant,
2563,Calamintha nepeta,Yellowstone National Park,268,Vascular Plant,
2564,Solidago glomerata,Yellowstone National Park,262,Vascular Plant,
2565,Carex abscondita,Yellowstone National Park,212,Vascular Plant,
2566,Falco peregrinus,Bryce National Park,100,Bird,Species of Concern
2567,Aureolaria pedicularia,Yellowstone National Park,275,Vascular Plant,
2568,Astragalus vexilliflexus var. vexilliflexus,Yosemite National Park,157,Vascular Plant,
2569,Apalone spinifera spinifera,Yellowstone National Park,263,Reptile,
2570,Potamogeton friesii,Yosemite National Park,138,Vascular Plant,
2571,Lupinus bicolor,Great Smoky Mountains National Park,59,Vascular Plant,
2572,Galium sparsiflorum ssp. sparsiflorum,Great Smoky Mountains National Park,58,Vascular Plant,
2573,Hordeum brachyantherum ssp. brachyantherum,Bryce National Park,128,Vascular Plant,
2574,Nemophila spatulata,Yellowstone National Park,250,Vascular Plant,
2575,Lupinus sericeus,Bryce National Park,134,Vascular Plant,
2576,Anelsonia eurycarpa,Yellowstone National Park,268,Vascular Plant,
2577,Juncus bufonius var. bufonius,Yosemite National Park,153,Vascular Plant,
2578,Solidago puberula,Yosemite National Park,168,Vascular Plant,
2579,Ranunculus hispidus,Yosemite National Park,140,Vascular Plant,
2580,Hygrohypnum ochraceum,Yellowstone National Park,292,Nonvascular Plant,
2581,Penthorum sedoides,Great Smoky Mountains National Park,82,Vascular Plant,
2582,Rhus copallina,Yellowstone National Park,233,Vascular Plant,
2583,Shepherdia canadensis,Bryce National Park,66,Vascular Plant,
2584,Equisetum fluviatile,Great Smoky Mountains National Park,56,Vascular Plant,
2585,Myotis evotis,Great Smoky Mountains National Park,46,Mammal,Species of Concern
2586,Cystopteris fragilis,Bryce National Park,92,Vascular Plant,
2587,Hirundo rustica,Bryce National Park,104,Bird,
2588,Ceanothus cuneatus var. cuneatus,Great Smoky Mountains National Park,47,Vascular Plant,
2589,Carpodacus cassinii,Great Smoky Mountains National Park,81,Bird,
2590,Prunus cerasus,Yosemite National Park,141,Vascular Plant,
2591,Picea rubens,Yellowstone National Park,259,Vascular Plant,
2592,Dorosoma cepedianum,Bryce National Park,98,Fish,
2593,Castilleja pallescens,Bryce National Park,78,Vascular Plant,
2594,Prunus,Yosemite National Park,133,Vascular Plant,
2595,Lasthenia californica,Great Smoky Mountains National Park,109,Vascular Plant,
2596,Oceanodroma castro,Bryce National Park,86,Bird,
2597,Mitella breweri,Yellowstone National Park,213,Vascular Plant,
2598,Ivesia muirii,Bryce National Park,130,Vascular Plant,
2599,Lycopodium tristachyum,Bryce National Park,122,Vascular Plant,
2600,Sedum acre,Bryce National Park,115,Vascular Plant,
2601,Clitoria mariana,Great Smoky Mountains National Park,69,Vascular Plant,
2602,Rhamnus ilicifolia,Yellowstone National Park,261,Vascular Plant,
2603,Hackelia nervosa,Yellowstone National Park,231,Vascular Plant,
2604,Picea glauca,Great Smoky Mountains National Park,71,Vascular Plant,
2605,Herpetineuron toccoae,Great Smoky Mountains National Park,73,Nonvascular Plant,
2606,Cirsium undulatum,Bryce National Park,55,Vascular Plant,
2607,Quercus falcata,Yosemite National Park,142,Vascular Plant,
2608,Dicentra formosa,Yosemite National Park,99,Vascular Plant,
2609,Empidonax hammondii,Yellowstone National Park,275,Bird,
2610,Arceuthobium occidentale,Great Smoky Mountains National Park,81,Vascular Plant,
2611,Mimulus primuloides,Great Smoky Mountains National Park,66,Vascular Plant,
2612,Necturus maculosus maculosus,Yellowstone National Park,250,Amphibian,
2613,Leucothoe fontanesiana,Yosemite National Park,151,Vascular Plant,
2614,Viburnum ellipticum,Bryce National Park,107,Vascular Plant,
2615,Rhus copallina,Bryce National Park,109,Vascular Plant,
2616,Raillardella scaposa,Bryce National Park,69,Vascular Plant,
2617,Elephantopus tomentosus,Yellowstone National Park,267,Vascular Plant,
2618,Arnoglossum muehlenbergii,Yellowstone National Park,261,Vascular Plant,
2619,Sanicula bipinnatifida,Yosemite National Park,117,Vascular Plant,
2620,Nuphar lutea ssp. polysepala,Great Smoky Mountains National Park,72,Vascular Plant,
2621,Campostoma anomalum,Bryce National Park,94,Fish,
2622,Ephemerum spinulosum,Yosemite National Park,152,Nonvascular Plant,
2623,Quercus velutina,Great Smoky Mountains National Park,54,Vascular Plant,
2624,Amorpha glabra,Yosemite National Park,157,Vascular Plant,
2625,Matelea obliqua,Bryce National Park,95,Vascular Plant,
2626,Carex atlantica,Yosemite National Park,187,Vascular Plant,
2627,Clethrionomys gapperi gapperi,Bryce National Park,130,Mammal,
2628,Asarum canadense,Bryce National Park,102,Vascular Plant,
2629,Callipepla californica,Yosemite National Park,169,Bird,
2630,Zonotrichia atricapilla,Yellowstone National Park,224,Bird,
