,category,scientific_name,common_names,conservation_status
1667,Vascular Plant,Penstemon laevigatus,"Smooth Beardtongue, Smooth Beard-Tongue",
1668,Vascular Plant,Penstemon smallii,"Small's Beardtongue, Small's Beard-Tongue",
1669,Vascular Plant,Plantago,"Indianwheat, Plantain",
1670,Vascular Plant,Plantago aristata,"Bracted Plantain, Large-Bract Plantain",
1673,Vascular Plant,Plantago pusilla,"Dwarf Plantain, Small Plantain",
1674,Vascular Plant,Plantago rugelii,"Black-Seed Plantain, White Man's Footprint",
1675,Vascular Plant,Plantago virginica,"Pale-Seeded Plantain, Virginia Plantain",
1676,Vascular Plant,Veronica agrestis,"Field Speedwell, Green Field Speedwell",
1679,Vascular Plant,Veronica hederifolia,Ivy-Leaved Speedwell,
1680,Vascular Plant,Veronica officinalis,"Common Speedwell, Gypsy-Weed",
1681,Vascular Plant,Veronica peregrina,Purslane Speedwell,
1683,Vascular Plant,Veronica serpyllifolia,Thyme-Leaved Speedwell,
1684,Vascular Plant,Veronicastrum virginicum,"Culver's Root, Culver's-Root",
1685,Vascular Plant,Buddleja davidii,Orange Eye Butterflybush,
1686,Vascular Plant,Scrophularia marilandica,"Carpenter's Square Figwort, Figwort",
1687,Vascular Plant,Verbascum blattaria,"Moth Mullein, White Moth Mullein",
1689,Vascular Plant,Verbascum virgatum,Wand Mullein,
1690,Vascular Plant,Polypremum procumbens,Juniper-Leaf,
1691,Vascular Plant,Phyla lanceolata,Lanceleaf Fogfruit,
1692,Vascular Plant,Verbena brasiliensis,"Blue Vervain, Brazillian Vervain",
1693,Vascular Plant,Verbena simplex,"Narrow-Leaved Vervain, Vervain",
1694,Vascular Plant,Verbena urticifolia,White Vervain,
1695,Vascular Plant,Calycanthus floridus,"Carolina-Allspice, Eastern Sweetshrub",
1696,Vascular Plant,Calycanthus floridus var. floridus,Eastern Sweetshrub,
1697,Vascular Plant,Calycanthus floridus var. glaucus,Sweetshrub,
1698,Vascular Plant,Lindera benzoin,Spicebush,
1699,Vascular Plant,Sassafras albidum,Sassafras,
1700,Vascular Plant,Uvularia grandiflora,Large-Flowered Bellwort,
1701,Vascular Plant,Uvularia perfoliata,Perfoliate Bellwort,
1702,Vascular Plant,Uvularia puberula,Mountain Bellwort,
1703,Vascular Plant,Uvularia sessilifolia,"Sessile-Leaf Bellwort, Wild Oats",
1704,Vascular Plant,Clintonia borealis,"Bluebead Lily, Clinton Lily",
1705,Vascular Plant,Clintonia umbellulata,"Speckled Wood Lily, White Clintonia",
1706,Vascular Plant,Erythronium americanum,"American Troutlily, Yellow Trout-Lily",
1707,Vascular Plant,Erythronium umbilicatum ssp. umbilicatum,Dimpled Troutlily,
1708,Vascular Plant,Lilium canadense ssp. editorum,Canada Lily,
1709,Vascular Plant,Lilium grayi,Gray's Lily,Species of Concern
1710,Vascular Plant,Lilium lancifolium,Tiger Lily,
1711,Vascular Plant,Lilium michauxii,Carolina Lily,
1712,Vascular Plant,Lilium philadelphicum,"Philadelphia Wood Lily, Wood Lily",
1713,Vascular Plant,Lilium superbum,Turk's Cap Lily,
1714,Vascular Plant,Medeola virginiana,"Indian Cucumber, Indian Cucumber-Root",
1715,Vascular Plant,Ornithogalum umbellatum,"Common Star-Of-Bethlehem, Star-Of-Bethlehem",
1716,Vascular Plant,Prosartes lanuginosum,Yellow Mandarin,
1717,Vascular Plant,Prosartes maculatum,Spotted Mandarin,
1718,Vascular Plant,Streptopus amplexifolius var. amplexifolius,"American Twistedstalk, Claspleaf Twistedstalk",
1719,Vascular Plant,Streptopus lanceolatus var. lanceolatus,Twistedstalk,
1720,Vascular Plant,Streptopus lanceolatus var. roseus,Twistedstalk,
1721,Vascular Plant,Streptopus roseus,"Rose Twisted-Stalk, Rosy Twisted-Stalk",
1722,Vascular Plant,Amianthium muscitoxicum,Fly Poison,
1723,Vascular Plant,Chamaelirium luteum,"Devil's-Bit, Fairy Wand",
1724,Vascular Plant,Melanthium latifolium,"Bunch-Flower, Hybrid Bunchflower",
1725,Vascular Plant,Melanthium parviflorum,"Small-Flowered False Hellebore, Small-Flowered False-Helleborne",
1726,Vascular Plant,Stenanthium gramineum,"Eastern Featherbells, Featherbells",
1727,Vascular Plant,Trillium catesbaei,Catesby's Trillium,
1728,Vascular Plant,Trillium cuneatum,"Little Sweet Trillium, Sessile-Flowered Maroon Trillium",
1729,Vascular Plant,Trillium erectum,"Ill-Scent Trillium, Wake Robin",
1730,Vascular Plant,Trillium flexipes,Jennison's White Trillium,
1731,Vascular Plant,Trillium grandiflorum,"Large-Flower Trillium, White Trillium",
1732,Vascular Plant,Trillium luteum,Yellow Trillium,
1733,Vascular Plant,Trillium pusillum var. pusillum,Dwarf Wakerobin,Species of Concern
1734,Vascular Plant,Trillium rugelii,Southern Nodding Trillium,
1735,Vascular Plant,Trillium simile,Sweet White Trillium,
1736,Vascular Plant,Trillium undulatum,Painted Trillium,
1737,Vascular Plant,Trillium vaseyi,Vasey's Trillium,
1738,Vascular Plant,Veratrum viride,"American False-Helleborne, False Hellebore",
1739,Vascular Plant,Xerophyllum asphodeloides,Eastern Turkeybeard,
1740,Vascular Plant,Smilax biltmoreana,Carrion Flower,
1741,Vascular Plant,Smilax bona-nox,"Catbrier, Saw Greenbrier",
1742,Vascular Plant,Smilax glauca,"Glaucous Catbrier, Glaucous-Leaved Greenbrier",
1743,Vascular Plant,Smilax herbacea,"Carrion Flower, Smooth Herbaceous Greenbrier",
1744,Vascular Plant,Smilax hugeri,"Huger's Carrion Flower, Huger's Carrion-Flower",
1745,Vascular Plant,Smilax pulverulenta,Downy Carrionflower,
1746,Vascular Plant,Smilax rotundifolia,"Common Greenbrier, Greenbrier",
1747,Vascular Plant,Smilax tamnoides,"Bristly Greenbrier, Hispid Greenbrier",
1748,Vascular Plant,Huperzia appalachiana,Fir Clubmoss,
1749,Vascular Plant,Huperzia lucidula,"Shining Clubmoss, Shining Club-Moss",
1750,Vascular Plant,Huperzia porophila,Rock Clubmoss,
1751,Vascular Plant,Huperzia selago var. densa,Fir Clubmoss,
1752,Vascular Plant,Huperzia selago var. selago,Fir Clubmoss,
1754,Vascular Plant,Lycopodium clavatum,"Running Clubmoss, Running Pine",
1755,Vascular Plant,Lycopodium complanatum,Running-Pine,
1756,Vascular Plant,Lycopodium dendroideum,Tree Groundpine,
1757,Vascular Plant,Lycopodium digitatum,Running-Pine,
1758,Vascular Plant,Lycopodium hickeyi,Ground Pine,
1759,Vascular Plant,Lycopodium obscurum,Ground Pine,
1760,Vascular Plant,Lycopodium tristachyum,"Deep-Root Clubmoss, Ground Cedar",
1761,Vascular Plant,Asimina triloba,"Pawpaw, Paw-Paw",
1762,Vascular Plant,Liriodendron tulipifera,"Tulip Tree, Tuliptree, Yellow Poplar",
1763,Vascular Plant,Magnolia acuminata,"Cucumber Magnolia, Cucumber-Tree",
1764,Vascular Plant,Magnolia fraseri,Fraser Magnolia,
1765,Vascular Plant,Magnolia grandiflora,"Large-Flower Magnolia, Southern Magnolia",
1766,Vascular Plant,Magnolia macrophylla,"Bigleaf Magnolia, Big-Leaved Magnolia",
1767,Vascular Plant,Magnolia tripetala,Umbrella Magnolia,
1768,Vascular Plant,Acalypha gracilens,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",
1769,Vascular Plant,Acalypha ostryifolia,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",
1770,Vascular Plant,Acalypha rhomboidea,"Common Threeseed Mercury, Virginia Threeseed Mercury",
1771,Vascular Plant,Acalypha virginica,"Virginia Copperleaf, Virginia Threeseed Mercury",
1772,Vascular Plant,Chamaesyce nutans,Eyebane,
1773,Vascular Plant,Croton glandulosus var. septentrionalis,Vente Conmigo,
1774,Vascular Plant,Croton monanthogynus,Prairie Tea,
1775,Vascular Plant,Euphorbia commutata,"Spurge, Wood Spurge",
1776,Vascular Plant,Euphorbia corollata,"Flowering Spruge, Flowering Spurge",
1777,Vascular Plant,Euphorbia cyparissias,Cypress Spurge,
1778,Vascular Plant,Euphorbia dentata var. dentata,"Toothed Spurge, Toothedleaf Poinsettia",
1779,Vascular Plant,Euphorbia lathyris,Moleplant,
1780,Vascular Plant,Euphorbia marginata,Snow On The Mountain,
1781,Vascular Plant,Euphorbia mercurialina,Mercury Spurge,
1782,Vascular Plant,Euphorbia pubentissima,Dogbane-Leaved Spurge,
1783,Vascular Plant,Euphorbia purpurea,Glade Spurge,Species of Concern
1784,Vascular Plant,Ricinus communis,Castorbean,
1785,Vascular Plant,Hypericum buckleii,Buckley's St. Johnswort,
1786,Vascular Plant,Hypericum densiflorum,"Bushy St. John's-Wort, Shrubby St. John's-Wort",
1787,Vascular Plant,Hypericum drummondii,Nits And Lice,
1788,Vascular Plant,Hypericum gentianoides,"Orange-Grass St. John's-Wort, Pineweed",
1789,Vascular Plant,Hypericum graveolens,Mountain St. John's-Wort,
1790,Vascular Plant,Hypericum hypericoides,St. Andrews Cross,
1791,Vascular Plant,Hypericum hypericoides ssp. hypericoides,St. Andrew's Cross,
1792,Vascular Plant,Hypericum hypericoides ssp. multicaule,"A St. John's-Wort, Low St. Andrew's Cross",
1793,Vascular Plant,Hypericum mitchellianum,"Blue Ridge St. John's-Wort, Mitchell's St.John's-Wort",
1794,Vascular Plant,Hypericum mutilum,"Dwarf St. John's-Wort, Slender St. John's-Wort",
1796,Vascular Plant,Hypericum pseudomaculatum,False Spotted St. Johnswort,
1797,Vascular Plant,Hypericum punctatum,"Common St. John's-Wort, Dotted St. John's-Wort",
1798,Vascular Plant,Hypericum virgatum,Sharpleaf St. Johnswort,
1799,Vascular Plant,Linum intercursum,Sandplain Flax,
1800,Vascular Plant,Linum medium var. texanum,Stiff Yellow Flax,
1801,Vascular Plant,Linum striatum,"Ridged Yellow Flax, Yellow Flax",
1802,Vascular Plant,Linum virginianum,Virginia Flax,
1803,Vascular Plant,Passiflora incarnata,"Passion-Flower, May-Pop, Purple Passion-Flower",
1804,Vascular Plant,Passiflora lutea,"Yellow Passionflower, Yellow Passion-Flower",
1805,Vascular Plant,Phyllanthus caroliniensis,"Carolina Leaf-Flower, Phyllanthus",
1806,Vascular Plant,Podostemum ceratophyllum,"Riverweed, Threadfoot",
1807,Vascular Plant,Populus alba,"Silver Poplar, White Poplar",
1808,Vascular Plant,Populus balsamifera ssp. balsamifera,Balm Of Gilead,
1809,Vascular Plant,Populus deltoides,Eastern Cottonwood,
1810,Vascular Plant,Populus grandidentata,"Big-Toothed Aspen, Large-Toothed Aspen",
1811,Vascular Plant,Populus nigra,Lombardy Poplar,
1812,Vascular Plant,Populus X canescens,Gray Poplar,
1813,Vascular Plant,Populus X jackii,Jack's Poplar,
1814,Vascular Plant,Salix alba,A Willow,
1815,Vascular Plant,Salix babylonica,"A Willow, Weeping Willow",
1816,Vascular Plant,Salix caprea,Goat Willow,
1817,Vascular Plant,Salix caroliniana,Carolina Willow,
1818,Vascular Plant,Salix discolor,Pussy Willow,
1819,Vascular Plant,Salix eriocephala,"Missouri River Willow, Missouri Willow",
1820,Vascular Plant,Salix humilis,Prairie Willow,
1821,Vascular Plant,Salix humilis var. humilis,Prairie Willow,
1822,Vascular Plant,Salix humilis var. tristis,Dwarf Willow,
1823,Vascular Plant,Salix nigra,"A Willow, Black Willow",
1824,Vascular Plant,Salix sericea,Silky Willow,
1825,Vascular Plant,Salix X pendulina,Pendulous Willow,
1826,Vascular Plant,Hybanthus concolor,Green Violet,
1828,Vascular Plant,Viola bicolor,"Field Pansy, Wild Pansy",
1829,Vascular Plant,Viola blanda,Sweet White Violet,
1830,Vascular Plant,Viola blanda var. blanda,Sweet White Violet,
1831,Vascular Plant,Viola blanda var. palustriformis,"Large-Leaf White Violet, Large-Leaved Violet",
1833,Vascular Plant,Viola canadensis var. canadensis,Canadian Violet,
1834,Vascular Plant,Viola canadensis var. corymbosa,Canadian Violet,
1835,Vascular Plant,Viola conspersa,"American Bog Violet, Dog Violet",
1836,Vascular Plant,Viola cucullata,Marsh Blue Violet,
1837,Vascular Plant,Viola egglestonii,Glade Violet,
1838,Vascular Plant,Viola hastata,"Halberd-Leaved Violet, Halberd-Leaved Yellow Violet",
1839,Vascular Plant,Viola hirsutula,Southern Wood Violet,
1840,Vascular Plant,Viola labradorica,Alpine Violet,
1841,Vascular Plant,Viola lanceolata,"Lance-Leaf Violet, Lance-Leaved Violet",
1842,Vascular Plant,Viola macloskeyi ssp. pallens,"Northern White Violet, Smooth White Violet",
1843,Vascular Plant,Viola missouriensis,Missouri Violet,
1844,Vascular Plant,Viola odorata,"English Violet, Sweet Violet",
1845,Vascular Plant,Viola pedata,"Bird's Foot Violet, Bird's-Foot Violet",
1846,Vascular Plant,Viola porterana,Stone's Violet,
1847,Vascular Plant,Viola pubescens,Downy Yellow Violet,
1848,Vascular Plant,Viola pubescens var. pubescens,Hairy Yellow Violet,
1849,Vascular Plant,Viola pubescens var. scabriuscula,Downy Yellow Violet,
1850,Vascular Plant,Viola rostrata,"Beaked Violet, Long-Spur Violet",
1851,Vascular Plant,Viola rotundifolia,"Early Yellow Violet, Roundleaf Violet",
1852,Vascular Plant,Viola sagittata,Arrow-Leaved Violet,
1853,Vascular Plant,Viola sagittata var. ovata,Arrowleaf Violet,
1854,Vascular Plant,Viola sagittata var. sagittata,Arrowleaf Violet,
1855,Vascular Plant,Viola septemloba,Violet,
1856,Vascular Plant,Viola septentrionalis,Northern Woodland Violet,
1857,Vascular Plant,Viola sororia,Woolly Blue Violet,
1858,Vascular Plant,Viola striata,"Pale Violet, Striped Violet",
1859,Vascular Plant,Viola tripartita,"Oval-Leaved Violet, Three-Parted Violet",
1860,Vascular Plant,Viola walteri,Violet,
1861,Vascular Plant,Viola X primulifolia,Primrose-Leaved Violet,
1862,Vascular Plant,Helianthemum bicknellii,"Bicknell's Frostweed, Plains Frostweed",
1863,Vascular Plant,Helianthemum canadense,"Canada Frostweed, Frostweed",
1864,Vascular Plant,Helianthemum propinquum,Low Frostweed,
1865,Vascular Plant,Lechea racemulosa,"Illinois Pinweed, Pinweed",
1866,Vascular Plant,Abutilon theophrasti,Velvetleaf,
1867,Vascular Plant,Alcea rosea,Hollyhock,
1868,Vascular Plant,Hibiscus moscheutos ssp. moscheutos,Crimsoneyed Rosemallow,
1869,Vascular Plant,Hibiscus syriacus,"Rose-Of-Sharon, Rose-Of-Sharon, Shrubby Althea",
1870,Vascular Plant,Malva moschata,Musk Mallow,
1872,Vascular Plant,Malva sylvestris,"High Cheeseweed, High Mallow",
1873,Vascular Plant,Sida hermaphrodita,Virginia Fanpetals,
1874,Vascular Plant,Sida spinosa,Prickly Mallow,
1875,Vascular Plant,Tilia americana,American Basswood,
1876,Vascular Plant,Tilia americana var. americana,American Basswood,
1877,Vascular Plant,Tilia americana var. heterophylla,White Basswood,
1878,Vascular Plant,Dirca palustris,Eastern Leatherwood,
1879,Vascular Plant,Ammannia coccinea,"Ammannia, Tooth-Cup",
1880,Vascular Plant,Cuphea viscosissima,Clammy Cuphea,
1882,Vascular Plant,Rhexia mariana,"Maryland Meadow Beauty, Pale Meadow Beauty",
1883,Vascular Plant,Rhexia mariana var. mariana,Maryland Meadowbeauty,
1884,Vascular Plant,Rhexia virginica,"Meadow Beauty, Virginia Meadow-Beauty",
1885,Vascular Plant,Circaea alpina,"Small Enchanter's Nightshade, Smaller Enchanter's-Nightshade",
1886,Vascular Plant,Circaea lutetiana ssp. canadensis,"Intermediate Enchanter's Nightshade, Larger Enchanter's-Nightshade",
1888,Vascular Plant,Epilobium coloratum,Willow-Herb,
1889,Vascular Plant,Gaura biennis,Biennial Gaura,
1890,Vascular Plant,Gaura filipes,Slenderstalk Beeblossom,
1891,Vascular Plant,Ludwigia alternifolia,"Alternate-Leaved Seedbox, Bushy Seedbox",
1892,Vascular Plant,Ludwigia decurrens,"Decurrent Seedbox, Primrose Willow",
1893,Vascular Plant,Ludwigia grandiflora,Large-Flower Primrose-Willow,
1895,Vascular Plant,Ludwigia peploides ssp. glabrescens,Floating Primrosewillow,
1896,Vascular Plant,Ludwigia uruguayensis,Seedbox,
1897,Vascular Plant,Oenothera biennis,"Common Evening-Primrose, Evening Primrose",
1898,Vascular Plant,Oenothera fruticosa ssp. fruticosa,Sundrops,
1899,Vascular Plant,Oenothera fruticosa ssp. glauca,Sundrops,
1900,Vascular Plant,Oenothera laciniata,"Cut-Leaved Evening Primrose, Cut-Leaved Evening-Primrose",
1901,Vascular Plant,Oenothera linifolia,Threadleaf Eveningprimrose,
1902,Vascular Plant,Oenothera speciosa,"Showy Evening Primrose, White Evening-Primrose",
1903,Vascular Plant,Oenothera triloba,Stemless Eveningprimrose,
1904,Vascular Plant,Nuphar lutea ssp. advena,Yellow Water-Lily,
1905,Vascular Plant,Nymphaea odorata,"American Water-Lily, White Water-Lily",
1906,Vascular Plant,Botrychium biternatum,"Southern Grape Fern, Sparse-Lobe Grape-Fern",
1907,Vascular Plant,Botrychium dissectum,"Cutleaf Grape-Fern, Cut-Leaved Grape Fern",
1908,Vascular Plant,Botrychium jenmanii,Dixie Grapefern,
1909,Vascular Plant,Botrychium lanceolatum var. angustisegmentum,Lanceleaf Grapefern,
1910,Vascular Plant,Botrychium matricariifolium,"Daisy-Leaf Moonwort, Matricary Grapefern",
1911,Vascular Plant,Botrychium oneidense,Blunt-Lobed Grape Fern,
1914,Vascular Plant,Ophioglossum vulgatum,"Southern Adderstongue, Southern Adder's-Tongue",
1915,Vascular Plant,Osmunda cinnamomea,Cinnamon Fern,
1916,Vascular Plant,Osmunda claytoniana,Interrupted Fern,
1917,Vascular Plant,Osmunda regalis var. spectabilis,Royal Fern,
1920,Vascular Plant,Oxalis grandis,"Great Yellow Wood-Sorrel, Large Wood-Sorrel",
1921,Vascular Plant,Oxalis montana,"White Wood-Sorrel, Wood-Sorrel",
1922,Vascular Plant,Oxalis stricta,"Upright Yellow Wood-Sorrel, Yellow Wood-Sorrel",
1924,Vascular Plant,Juniperus chinensis,Chinese Juniper,
1925,Vascular Plant,Juniperus virginiana,Red Cedar,
1926,Vascular Plant,Platycladus orientalis,Oriental White Cedar,
1927,Vascular Plant,Thuja occidentalis,Northern White Cedar,
1928,Vascular Plant,Abies fraseri,Fraser Fir,Species of Concern
1929,Vascular Plant,Picea abies,Norway Spruce,
1930,Vascular Plant,Picea rubens,Red Spruce,
1931,Vascular Plant,Pinus,Pine,
1932,Vascular Plant,Pinus echinata,Short-Leaf Pine,
1933,Vascular Plant,Pinus palustris,Longleaf Pine,
1934,Vascular Plant,Pinus pungens,Table Mountain Pine,
1935,Vascular Plant,Pinus rigida,Pitch Pine,
1936,Vascular Plant,Pinus strobus,White Pine,
1937,Vascular Plant,Pinus taeda,Loblolly Pine,
1938,Vascular Plant,Pinus virginiana,Virginia Or Scrub Pine,
1939,Vascular Plant,Tsuga canadensis,Eastern Hemlock,
1940,Vascular Plant,Aristolochia macrophylla,Dutchman's Pipe,
1941,Vascular Plant,Aristolochia serpentaria,"Snakeroot, Virginia Snakeroot",
1942,Vascular Plant,Asarum canadense,Wild Ginger,
1943,Vascular Plant,Hexastylis arifolia,"Little Brown Jug, Little Brown Jugs",
1944,Vascular Plant,Hexastylis heterophylla,Variableleaf Heartleaf,
1945,Vascular Plant,Hexastylis shuttleworthii,"Large-Flowered Heartleaf, Spotted Little Brown Jugs",
1947,Vascular Plant,Carex,"Carex, Sedge, Sedge Species, Sedges",
1948,Vascular Plant,Carex abscondita,Thicket Sedge,
1949,Vascular Plant,Carex aestivalis,Summer Sedge,
1950,Vascular Plant,Carex aggregata,Glomerate Sedge,
1951,Vascular Plant,Carex albicans,Whitetinge Sedge,
1952,Vascular Plant,Carex albicans var. albicans,Sedge,
1953,Vascular Plant,Carex albicans var. australis,Sedge,
1954,Vascular Plant,Carex albicans var. emmonsii,"Emmons Sedge, Sedge",
1955,Vascular Plant,Carex albolutescens,"Greenish-White Sedge, Light-Colored Sedge",
1956,Vascular Plant,Carex albursina,"A Sedge, Sedge",
1957,Vascular Plant,Carex amphibola,Eastern Narrowleaf Sedge,
1958,Vascular Plant,Carex amphibola var. rigida,"A Sedge, Rigid Sedge",
1959,Vascular Plant,Carex amphibola var. turgida,Turgid Sedge,
1960,Vascular Plant,Carex annectens,"A Sedge, Sedge",
1961,Vascular Plant,Carex appalachica,Appalachian Sedge,
1962,Vascular Plant,Carex atlantica,Prickly Bog Sedge,
1963,Vascular Plant,Carex atlantica ssp. atlantica,Sedge,
1964,Vascular Plant,Carex atlantica ssp. capillacea,Prickly Bog Sedge,
1965,Vascular Plant,Carex austrocaroliniana,"A Sedge, South Carolina Sedge",
1966,Vascular Plant,Carex baileyi,"Bailey Sedge, Bailey's Sedge",
1967,Vascular Plant,Carex barrattii,Barratt's Sedge,
1968,Vascular Plant,Carex biltmoreana,Biltmore Sedge,
1969,Vascular Plant,Carex blanda,"Sedge, Woodland Sedge",
1970,Vascular Plant,Carex brevior,"Brevior Sedge, Fescue Sedge, Shortbeak Sedge",
1971,Vascular Plant,Carex bromoides,"A Sedge, Sedge",
1972,Vascular Plant,Carex brunnescens ssp. brunnescens,Brownish Sedge,
1973,Vascular Plant,Carex brunnescens ssp. sphaerostachya,"Brownish Sedge, Few Flowered Sedge",
1974,Vascular Plant,Carex caroliniana,"Carolina Sedge, Hirsute Sedge",
1975,Vascular Plant,Carex cephalophora,"Oval-Leaved Sedge, Sedge",
1976,Vascular Plant,Carex cherokeensis,Cherokee Sedge,
1977,Vascular Plant,Carex communis,"Common Sedge, Fibrous-Root Sedge",
1978,Vascular Plant,Carex communis var. amplisquama,Dixie Sedge,Species of Concern
1979,Vascular Plant,Carex communis var. communis,Fibrousroot Sedge,
1980,Vascular Plant,Carex complanata,Blue Sedge,
1981,Vascular Plant,Carex conjuncta,Soft Fox Sedge,
1982,Vascular Plant,Carex corrugata,Prune-Fruit Sedge,
1983,Vascular Plant,Carex crebriflora,Coastalplain Sedge,
1984,Vascular Plant,Carex crinita var. crinita,Drooping Sedge,
1985,Vascular Plant,Carex cristatella,"Sedge, Small Crested Sedge",
1986,Vascular Plant,Carex cumberlandensis,Local Sedge,
1987,Vascular Plant,Carex debilis,"White Edge Sedge, White-Edge Sedge",
1988,Vascular Plant,Carex debilis var. debilis,White Edge Sedge,
1989,Vascular Plant,Carex debilis var. interjecta,Necklace Sedge,
1990,Vascular Plant,Carex debilis var. pubera,Hairy Necklace Sedge,
1991,Vascular Plant,Carex debilis var. rudgei,"Necklace Sedge, White-Edge Sedge",
1992,Vascular Plant,Carex eburnea,"Black-Fruited Sedge, Ebony Sedge",
1993,Vascular Plant,Carex festucacea,Fescue Sedge,
1994,Vascular Plant,Carex flaccosperma,Thinfruit Sedge,
1995,Vascular Plant,Carex frankii,"Frank Sedge, Frank's Sedge",
1996,Vascular Plant,Carex gracilescens,Slender Looseflower Sedge,
1997,Vascular Plant,Carex gracillima,Graceful Sedge,
1998,Vascular Plant,Carex granularis,Granular Sedge,
1999,Vascular Plant,Carex gravida var. lunelliana,Heavy Sedge,
2000,Vascular Plant,Carex grayi,Gray's Sedge,
2001,Vascular Plant,Carex grisea,Inflated Narrow-Leaf Sedge,
2002,Vascular Plant,Carex gynandra,"A Sedge, Drooping Sedge",
2003,Vascular Plant,Carex hirsutella,Hirsute Sedge,
2004,Vascular Plant,Carex intumescens,Intumescent Sedge,
2005,Vascular Plant,Carex jamesii,"James? Sedge, Nebraska Sedge",
2006,Vascular Plant,Carex kraliana,Kral's Sedge,
2007,Vascular Plant,Carex laevivaginata,"Sedge, Smooth-Sheath Sedge",
2008,Vascular Plant,Carex laxiculmis,"Sedge, Spreading Sedge",
2009,Vascular Plant,Carex laxiflora,"Broad Looseflower Sedge, Loose-Flowered Sedge",
2010,Vascular Plant,Carex leavenworthii,Leavenworth Sedge,
2012,Vascular Plant,Carex leptonervia,"Finely-Nerved Sedge, Nerved Sedge",
2013,Vascular Plant,Carex louisianica,Louisiana Sedge,
2014,Vascular Plant,Carex lucorum var. austrolucorum,Blue Ridge Sedge,
2015,Vascular Plant,Carex lucorum var. lucorum,Long-Beaked Sedge,
2016,Vascular Plant,Carex lupulina,"A Sedge, Larger Hop Sedge",
2017,Vascular Plant,Carex lurida,"Shallow Sedge, Smaller Hop Sedge",
2018,Vascular Plant,Carex macrochaeta,Alaska Large Awn Sedge,
2019,Vascular Plant,Carex misera,"Miserable Sedge, Wretched Sedge",
2020,Vascular Plant,Carex muehlenbergii var. muehlenbergii,Muhlenberg's Sedge,
2021,Vascular Plant,Carex nigromarginata,"Black-Edge Sedge, Black-Margined Sedge",
2022,Vascular Plant,Carex normalis,"A Sedge, Sedge",
2023,Vascular Plant,Carex oligocarpa,Sedge,
2024,Vascular Plant,Carex oxylepis var. oxylepis,Sharpscale Sedge,
2025,Vascular Plant,Carex pedunculata,"Longstalk Sedge, Peduncled Sedge",
2026,Vascular Plant,Carex pensylvanica,Pennsylvania Sedge,
2027,Vascular Plant,Carex plantaginea,Plantain-Leaved Sedge,
2028,Vascular Plant,Carex platyphylla,"Broad-Leaved Sedge, Glaucous Broad-Leaved Sedge",
2029,Vascular Plant,Carex prasina,Drooping Sedge,
2030,Vascular Plant,Carex projecta,"Necklace Sedge, Sedge",
2031,Vascular Plant,Carex purpurifera,"Purple Sedge, Purple-Based Sedge",
2032,Vascular Plant,Carex radiata,"Radiate Sedge, Stellate Sedge",
2033,Vascular Plant,Carex retroflexa,Reflexed Sedge,
2034,Vascular Plant,Carex rosea,"A Sedge, Roseate Sedge",
2035,Vascular Plant,Carex ruthii,"Ruth Sedge, Ruth's Sedge",
2036,Vascular Plant,Carex scabrata,Rough Sedge,
2037,Vascular Plant,Carex scoparia,"Pointed Broom Sedge, Sedge",
2038,Vascular Plant,Carex sparganioides,"Bur-Reed Sedge, Sedge",
2039,Vascular Plant,Carex squarrosa,"Round-Headed Sedge, Squarrose Sedge",
2040,Vascular Plant,Carex stipata,"Stalk-Grain Sedge, Stipate Sedge",
2041,Vascular Plant,Carex striatula,Lined Sedge,
2042,Vascular Plant,Carex stricta,Uptight Sedge,
2043,Vascular Plant,Carex styloflexa,"Bent Sedge, Sedge",
2044,Vascular Plant,Carex swanii,"Swan Sedge, Swan's Sedge",
2045,Vascular Plant,Carex texensis,Texas Sedge,
2046,Vascular Plant,Carex tonsa var. rugosperma,Parachute Sedge,
2047,Vascular Plant,Carex torta,Twisted Sedge,
2048,Vascular Plant,Carex tribuloides,"Blunt Broom Sedge, Sedge",
2049,Vascular Plant,Carex trichocarpa,Hairyfruit Sedge,
2050,Vascular Plant,Carex trisperma,Three-Seeded Sedge,
2051,Vascular Plant,Carex umbellata,"A Sedge, Umbel Sedge",
2052,Vascular Plant,Carex virescens,"Ribbed Sedge, Sedge",
2053,Vascular Plant,Carex vulpinoidea,Fox Sedge,
2054,Vascular Plant,Carex willdenowii,Willdenow's Sedge,
2055,Vascular Plant,Cymophyllus fraserianus,Fraser's Sedge,
2056,Vascular Plant,Cyperus bipartitus,"Shining Flatsedge, Slender Flatsedge",
2057,Vascular Plant,Cyperus croceus,Round-Headed Umbrella Sedge,
2058,Vascular Plant,Cyperus dipsaceus,"Wright Flatsedge, Wright's Flatsedge",
2059,Vascular Plant,Cyperus echinatus,Globe Flatsedge,
2061,Vascular Plant,Cyperus flavescens,"Pale Flatsedge, Yellow Flatsedge",
2062,Vascular Plant,Cyperus iria,Ricefield Flatsedge,
2063,Vascular Plant,Cyperus lancastriensis,"Many-Flowered Umbrella-Sedge, Umbrella-Sedge",
2064,Vascular Plant,Cyperus lupulinus ssp. lupulinus,Great Plains Flatsedge,
2065,Vascular Plant,Cyperus polystachyos var. texensis,Umbrella-Sedge,
2066,Vascular Plant,Cyperus pseudovegetus,Marsh Flatsedge,
